"'BAC^E',"
"'BAC^K',"
"'BAC^L',"
"'BAC^M',"
"'BAC^N',"
"'BAC^Y',"
"'BML^G',"
"'BML^H',"
"'BML^J',"
"'BML^L',"
"'BOH',"
"'BMO',"
"'NTB',"
"'BK',"
"'BK^C',"
"'BNS',"
"'BKU',"
"'BCS',"
"'BBDC',"
"'MCI',"
"'MPV',"
"'BNED',"
"'B',"
"'GOLD',"
"'BAS',"
"'BHC',"
"'BAX',"
"'BTE',"
"'BBT',"
"'BBT^F',"
"'BBT^G',"
"'BBT^H',"
"'BBAR',"
"'BBX',"
"'BCE',"
"'BZH',"
"'BDX',"
"'BDXA',"
"'BDC',"
"'BHE',"
"'BRK.A',"
"'BRK.B',"
"'BHLB',"
"'BERY',"
"'BBY',"
"'BEST',"
"'BHP',"
"'BBL',"
"'BIG',"
"'BH',"
"'BH.A',"
"'BHVN',"
"'BIO',"
"'BIO.B',"
"'BITA',"
"'BJ',"
"'BKH',"
"'BKI',"
"'BSM',"
"'BB',"
"'BGIO',"
"'BFZ',"
"'CII',"
"'BHK',"
"'HYT',"
"'BTZ',"
"'DSU',"
"'BGR',"
"'BDJ',"
"'EGF',"
"'FRA',"
"'BFO',"
"'BGT',"
"'BOE',"
"'BME',"
"'BAF',"
"'BKT',"
"'BGY',"
"'BKN',"
"'BTA',"
"'BZM',"
"'MHE',"
"'BIT',"
"'MUI',"
"'MNE',"
"'MUA',"
"'BKK',"
"'BBK',"
"'BBF',"
"'BYM',"
"'BFK',"
"'BLE',"
"'BTT',"
"'MEN',"
"'MUC',"
"'MUH',"
"'MHD',"
"'MFL',"
"'MUJ',"
"'MHN',"
"'MUE',"
"'MUS',"
"'MVT',"
"'MYC',"
"'MCA',"
"'MYD',"
"'MYF',"
"'MFT',"
"'MIY',"
"'MYJ',"
"'MYN',"
"'MPA',"
"'MQT',"
"'MYI',"
"'MQY',"
"'BNY',"
"'BQH',"
"'BSE',"
"'BFY',"
"'BCX',"
"'BST',"
"'BSTZ',"
"'BSD',"
"'BUI',"
"'BHV',"
"'BLK',"
"'BGB',"
"'BGX',"
"'BSL',"
"'BE',"
"'APRN',"
"'BCRH',"
"'BXG',"
"'BXC',"
"'DCF',"
"'DHF',"
"'DMB',"
"'DSM',"
"'LEO',"
"'BA',"
"'BCC',"
"'BCEI',"
"'BOOT',"
"'BAH',"
"'BWA',"
"'BORR',"
"'SAM',"
"'BXP',"
"'BXP^B',"
"'BSX',"
"'BOX',"
"'BYD',"
"'BPMP',"
"'BP',"
"'BPT',"
"'BRC',"
"'BHR',"
"'BHR^B',"
"'BHR^D',"
"'BDN',"
"'BWG',"
"'LND',"
"'BRFS',"
"'BGG',"
"'MNRL',"
"'BFAM',"
"'BEDU',"
"'BSA',"
"'BSIG',"
"'BV',"
"'EAT',"
"'BCO',"
"'BMY',"
"'BTI',"
"'BRX',"
"'BR',"
"'BKD',"
"'BAM',"
"'BBU',"
"'DTLA^',"
"'INF',"
"'BIP',"
"'RA',"
"'BEP',"
"'BRO',"
"'BF.A',"
"'BF.B',"
"'BRT',"
"'BC',"
"'BC^A',"
"'BC^B',"
"'BC^C',"
"'BPL',"
"'BKE',"
"'BVN',"
"'BBW',"
"'BG',"
"'BURL',"
"'BWXT',"
"'BY',"
"'CJ',"
"'GYB',"
"'PFH',"
"'CABO',"
"'CBT',"
"'COG',"
"'CACI',"
"'WHD',"
"'CADE',"
"'CAE',"
"'CAI',"
"'CAI^A',"
"'CAI^B',"
"'CAL',"
"'CRC',"
"'CWT',"
"'CALX',"
"'ELY',"
"'CPE',"
"'CBM',"
