"times","exponential_ma_open","exponential_ma_high","exponential_ma_low","exponential_ma_close","symbol","market"
"2019-10-23 15:30:00",28.0519,28.1057,28.0033,28.0524,"AAL","NASDAQ"
"2019-10-23 15:15:00",28.0503,28.104,28.0015,28.0508,"AAL","NASDAQ"
"2019-10-23 15:00:00",28.0491,28.1025,28.0003,28.0491,"AAL","NASDAQ"
"2019-10-23 14:45:00",28.0475,28.1014,27.9987,28.0479,"AAL","NASDAQ"
"2019-10-23 14:30:00",28.0461,28.1002,27.9969,28.0463,"AAL","NASDAQ"
"2019-10-23 14:15:00",28.044,28.0987,27.9951,28.0449,"AAL","NASDAQ"
"2019-10-23 14:00:00",28.0419,28.0969,27.9926,28.0428,"AAL","NASDAQ"
"2019-10-23 13:45:00",28.0396,28.095,27.9901,28.0406,"AAL","NASDAQ"
"2019-10-23 13:30:00",28.0371,28.0927,27.9871,28.0381,"AAL","NASDAQ"
"2019-10-23 13:15:00",28.0343,28.0901,27.9842,28.0356,"AAL","NASDAQ"
"2019-10-23 13:00:00",28.0324,28.0874,27.9818,28.0328,"AAL","NASDAQ"
"2019-10-23 12:45:00",28.0305,28.0859,27.9795,28.0308,"AAL","NASDAQ"
"2019-10-23 12:30:00",28.0287,28.0842,27.9772,28.0289,"AAL","NASDAQ"
"2019-10-23 12:15:00",28.0266,28.0825,27.9749,28.0271,"AAL","NASDAQ"
"2019-10-23 12:00:00",28.0248,28.0807,27.9726,28.025,"AAL","NASDAQ"
"2019-10-23 11:45:00",28.0225,28.0787,27.9707,28.0232,"AAL","NASDAQ"
"2019-10-23 11:30:00",28.0205,28.0767,27.9684,28.0208,"AAL","NASDAQ"
"2019-10-23 11:15:00",28.0187,28.075,27.9663,28.0188,"AAL","NASDAQ"
"2019-10-23 11:00:00",28.0181,28.0734,27.9651,28.0169,"AAL","NASDAQ"
"2019-10-23 10:45:00",28.018,28.0734,27.965,28.0163,"AAL","NASDAQ"
"2019-10-23 10:30:00",28.0176,28.0735,27.9646,28.0163,"AAL","NASDAQ"
"2019-10-23 10:15:00",28.0175,28.0734,27.9652,28.0159,"AAL","NASDAQ"
"2019-10-23 10:00:00",28.0186,28.0735,27.9658,28.0158,"AAL","NASDAQ"
"2019-10-23 09:45:00",28.0196,28.0734,27.9664,28.0169,"AAL","NASDAQ"
"2019-10-22 16:00:00",28.0172,28.0704,27.9671,28.0181,"AAL","NASDAQ"
"2019-10-22 15:45:00",28.0134,28.067,27.9644,28.0156,"AAL","NASDAQ"
"2019-10-22 15:30:00",28.0091,28.0629,27.96,28.0117,"AAL","NASDAQ"
"2019-10-22 15:15:00",28.006,28.0591,27.9565,28.0074,"AAL","NASDAQ"
"2019-10-22 15:00:00",28.0029,28.0564,27.9534,28.0044,"AAL","NASDAQ"
"2019-10-22 14:45:00",27.9996,28.0536,27.9501,28.0011,"AAL","NASDAQ"
"2019-10-22 14:30:00",27.9954,28.0497,27.9466,27.9978,"AAL","NASDAQ"
"2019-10-22 14:15:00",27.9914,28.0457,27.9422,27.9937,"AAL","NASDAQ"
"2019-10-22 14:00:00",27.9881,28.0416,27.9384,27.9896,"AAL","NASDAQ"
"2019-10-22 13:45:00",27.985,28.0387,27.9352,27.9862,"AAL","NASDAQ"
"2019-10-22 13:30:00",27.983,28.0362,27.9327,27.9832,"AAL","NASDAQ"
"2019-10-22 13:15:00",27.9814,28.0347,27.9307,27.9811,"AAL","NASDAQ"
"2019-10-22 13:00:00",27.9794,28.0331,27.9288,27.9795,"AAL","NASDAQ"
"2019-10-22 12:45:00",27.9767,28.0308,27.9262,27.9774,"AAL","NASDAQ"
"2019-10-22 12:30:00",27.9738,28.0284,27.9237,27.9747,"AAL","NASDAQ"
"2019-10-22 12:15:00",27.9705,28.0254,27.9204,27.9718,"AAL","NASDAQ"
"2019-10-22 12:00:00",27.9674,28.0223,27.9169,27.9686,"AAL","NASDAQ"
"2019-10-22 11:45:00",27.9653,28.0195,27.9143,27.9653,"AAL","NASDAQ"
"2019-10-22 11:30:00",27.9635,28.018,27.9122,27.9633,"AAL","NASDAQ"
"2019-10-22 11:15:00",27.9618,28.0166,27.9105,27.9614,"AAL","NASDAQ"
"2019-10-22 11:00:00",27.9609,28.0147,27.9092,27.9597,"AAL","NASDAQ"
"2019-10-22 10:45:00",27.9607,28.0141,27.9086,27.9588,"AAL","NASDAQ"
"2019-10-22 10:30:00",27.961,28.0141,27.9085,27.9585,"AAL","NASDAQ"
"2019-10-22 10:15:00",27.9612,28.0145,27.9087,27.9588,"AAL","NASDAQ"
"2019-10-22 10:00:00",27.9613,28.0151,27.9094,27.9591,"AAL","NASDAQ"
"2019-10-22 09:45:00",27.9617,28.0156,27.9099,27.9592,"AAL","NASDAQ"
"2019-10-21 16:00:00",27.9563,28.0102,27.9101,27.9595,"AAL","NASDAQ"
"2019-10-21 15:45:00",27.9497,28.0039,27.9035,27.9528,"AAL","NASDAQ"
"2019-10-21 15:30:00",27.9432,27.9977,27.897,27.9461,"AAL","NASDAQ"
"2019-10-21 15:15:00",27.9364,27.9914,27.8899,27.9396,"AAL","NASDAQ"
"2019-10-21 15:00:00",27.9301,27.9851,27.8832,27.9327,"AAL","NASDAQ"
"2019-10-21 14:45:00",27.9243,27.9793,27.877,27.9265,"AAL","NASDAQ"
"2019-10-21 14:30:00",27.9185,27.9736,27.8708,27.9207,"AAL","NASDAQ"
"2019-10-21 14:15:00",27.9117,27.9672,27.8646,27.9149,"AAL","NASDAQ"
"2019-10-21 14:00:00",27.9042,27.9602,27.8575,27.908,"AAL","NASDAQ"
"2019-10-21 13:45:00",27.8967,27.9532,27.8498,27.9006,"AAL","NASDAQ"
"2019-10-21 13:30:00",27.8888,27.9459,27.8419,27.893,"AAL","NASDAQ"
"2019-10-21 13:15:00",27.8803,27.9379,27.8338,27.8851,"AAL","NASDAQ"
"2019-10-21 13:00:00",27.8711,27.9293,27.8247,27.8766,"AAL","NASDAQ"
"2019-10-21 12:45:00",27.8617,27.9204,27.815,27.8673,"AAL","NASDAQ"
"2019-10-21 12:30:00",27.8522,27.9114,27.8053,27.8578,"AAL","NASDAQ"
"2019-10-21 12:15:00",27.8428,27.9024,27.7956,27.8483,"AAL","NASDAQ"
"2019-10-21 12:00:00",27.8329,27.8931,27.7857,27.8389,"AAL","NASDAQ"
"2019-10-21 11:45:00",27.8229,27.8835,27.7755,27.8289,"AAL","NASDAQ"
"2019-10-21 11:30:00",27.8125,27.8734,27.7652,27.819,"AAL","NASDAQ"
"2019-10-21 11:15:00",27.8026,27.8634,27.755,27.8085,"AAL","NASDAQ"
